Parameter,ARIMA,Mean 0,SD 0,Mean 1,SD 1,0 Hits,0 Hit %,1 Hits,1 Hits %
TOTUSJH,"(0, 1, 0)",344.91,102.47,499.24,76.91,0,0,0,0
TOTBSQ,"(0, 1, 0)",2150.22,111.47,2319.97,80.09,0,0,0,0
TOTPOT,"(0, 1, 0)",5726.7,146.96,5945.6,98.56,0,0,0,0
TOTUSJZ,"(0, 1, 0)",3177.01,114.46,3331.5,89.58,0,0,0,0
ABSNJZH,"(0, 1, 1)",285.23,95.89,450.1,76.84,0,0,0,0
SAVNCPP,"(0, 1, 1)",3253.07,92.04,3404.15,67.27,0,0,0,0
USFLUX,"(0, 1, 0)",5498.9,108.28,5644.91,86.73,0,0,0,0
TOTFZ,"(0, 1, 0)",6211.16,113.58,6387.64,84.772,0,0,0,0
MEANPOT,"(0, 1, 0)",679.68,86.86,705.06,73.48,0,0,0,0
EPSZ,"(0, 1, 0)",-415.08,85.57,-485.22,66.54,0,0,0,0
MEANSHR,"(0, 1, 0)",92.34,87.19,24.57,72.87,0,0,0,0
SHRGT45,"(0, 1, 1)",140,89.9,90.71,71.26,0,0,0,0
MEANGAM,"(0, 1, 1)",82.54,82.78,21.54,68.66,0,0,0,0
MEANGBT,"(0, 1, 0)",268.04,92.33,157.63,71.13,0,0,0,0
MEANGBZ,"(0, 1, 0)",270.64,90.89,171.64,71.63,0,0,0,0
MEANGBH,"(0, 1, 0)",185.07,87.31,93.43,61.18,0,0,0,0
MEANJZH,"(0, 1, 1)",-626.34,102.43,-722.51,70.84,0,0,0,0
TOTFY,"(0, 1, 0)",6093.65,99.33,6248.97,73,0,0,0,0
MEANJZD,"(0, 1, 1)",-33.01,105.95,-164.76,67.05,0,0,0,0
MEANALP,"(0, 1, 1)",-483.71,120.51,-614.01,77.59,0,0,0,0
TOTFX,"(0, 1, 0)",6106.23,111.91,6271.13,83.8,0,0,0,0
EPSY,"(0, 1, 0)",-475.6,103.87,-609,69.06,0,0,0,0
EPSX,"(0, 1, 0) ",-480.7,100.69,-599.25,64.03,0,0,0,0
R_VALUE,"(0, 1, 0)",-8,146.84,-164.8,135.06,12791,0.426366667,19,0.0038
XR_MAX,"(0, 1, 0)",-1469.6,758.27,-1444.05,7787.85,0,0,0,0
